Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	Gene Type	# of occurrence within resources (Column J-P)	OncoKB Annotated	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	COSMIC CGC (v99)	Gene Aliases
ABL1	25	ENST00000318560	NM_005157.4	ENST00000318560	NM_005157.4	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ABL, JTK7, c-ABL
AKT1	207	ENST00000349310	NM_001014431.1	ENST00000349310	NM_001014431.1	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	AKT, PKB, PRKBA, RAC, RAC-alpha
ALK	238	ENST00000389048	NM_004304.4	ENST00000389048	NM_004304.4	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CD246
AMER1	139285	ENST00000330258	NM_152424.3	ENST00000374869	NM_152424.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FAM123B, FLJ39827, RP11-403E24.2, WTX
APC	324	ENST00000257430	NM_000038.5	ENST00000257430	NM_000038.5	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	DP2.5, PPP1R46
AR	367	ENST00000374690	NM_000044.3	ENST00000374690	NM_000044.3	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	AIS, DHTR, HUMARA, NR3C4, SBMA, SMAX1
ARID1A	8289	ENST00000324856	NM_006015.4	ENST00000324856	NM_006015.4	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	B120, BAF250, BAF250a, C10rf4, C1orf4, P270, SMARCF1
ASXL1	171023	ENST00000375687	NM_015338.5	ENST00000375687	NM_015338.5	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KIAA0978
ATM	472	ENST00000278616	NM_000051.3	ENST00000278616	NM_000051.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ATA, ATC, ATD, ATDC, TEL1, TELO1
ATRX	546	ENST00000373344	NM_000489.3	ENST00000373344	NM_000489.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	JMS, MRX52, RAD54, XH2, XNP
AXIN1	8312	ENST00000262320	NM_003502.3	ENST00000262320	NM_003502.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	PPP1R49
BAP1	8314	ENST00000460680	NM_004656.3	ENST00000460680	NM_004656.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KIAA0272, UCHL2, hucep-6
BCL2	596	ENST00000333681	NM_000633.2	ENST00000333681	NM_000633.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Bcl-2, PPP1R50
BCOR	54880	ENST00000378444	NM_001123385.1	ENST00000378444	NM_001123385.1	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FLJ20285, KIAA1575
BRAF	673	ENST00000288602	NM_004333.4	ENST00000646891	NM_004333.4	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BRAF1
BRCA1	672	ENST00000357654	NM_007294.3	ENST00000357654	NM_007294.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FANCS, PPP1R53, RNF53
BRCA2	675	ENST00000380152	NM_000059.3	ENST00000380152	NM_000059.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FAD1, FANCD1, XRCC11
CARD11	84433	ENST00000396946	NM_032415.4	ENST00000396946	NM_032415.4	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BIMP3, CARMA1
CBL	867	ENST00000264033	NM_005188.3	ENST00000264033	NM_005188.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CBL2, RNF55, c-Cbl
CDC73	79577	ENST00000367435	NM_024529.4	ENST00000367435	NM_024529.4	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	C1orf28, FIHP, HRPT1, HRPT2, parafibromin
CDH1	999	ENST00000261769	NM_004360.3	ENST00000261769	NM_004360.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CD324, UVO, uvomorulin
CDKN2A	1029	ENST00000304494	NM_000077.4	ENST00000304494	NM_000077.4	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CDKN2, CMM2, INK4, INK4a, MLM, p16, p16INK4a, p19Arf
CEBPA	1050	ENST00000498907	NM_004364.3	ENST00000498907	NM_004364.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	C/EBP-alpha, CEBP
CIC	23152	ENST00000575354	NM_015125.3	ENST00000575354	NM_015125.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KIAA0306
CREBBP	1387	ENST00000262367	NM_004380.2	ENST00000262367	NM_004380.2	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KAT3A, RSTS, RTS
CTNNB1	1499	ENST00000349496	NM_001904.3	ENST00000349496	NM_001904.3	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CTNNB, armadillo, beta-catenin
DAXX	1616	ENST00000374542	NM_001141970.1	ENST00000266000	NM_001141970.1	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	DAP6
DNMT3A	1788	ENST00000264709	NM_022552.4	ENST00000264709	NM_022552.4	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
EGFR	1956	ENST00000275493	NM_005228.3	ENST00000275493	NM_005228.3	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ERBB, ERBB1, ERRP
EP300	2033	ENST00000263253	NM_001429.3	ENST00000263253	NM_001429.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KAT3B, p300
ERBB2	2064	ENST00000269571	NM_004448.2	ENST00000269571	NM_004448.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CD340, HER-2, HER2, NGL
EZH2	2146	ENST00000320356	NM_004456.4	ENST00000320356	NM_004456.4	ONCOGENE_AND_TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ENX-1, KMT6, KMT6A
FBXW7	55294	ENST00000281708	NM_033632.3	ENST00000281708	NM_033632.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	AGO, CDC4, FBW7, FBX30, FBXW6, FLJ11071, SEL-10, SEL10
FGFR2	2263	ENST00000358487	NM_000141.4	ENST00000358487	NM_000141.4	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BEK, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25
FGFR3	2261	ENST00000260795	NM_000142.5	ENST00000440486	NM_000142.5	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ACH, CD333, CEK2, JTK4
FLT3	2322	ENST00000241453	NM_004119.2	ENST00000241453	NM_004119.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CD135, FLK2, STK1
FOXL2	668	ENST00000330315	NM_023067.3	ENST00000648323	NM_023067.3	ONCOGENE_AND_TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BPES, BPES1
GATA3	2625	ENST00000346208	NM_002051.2	ENST00000346208	NM_002051.2	ONCOGENE_AND_TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	HDR
GNA11	2767	ENST00000078429	NM_002067.2	ENST00000078429	NM_002067.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FBH, FBH2, FHH2, HHC2
GNAQ	2776	ENST00000286548	NM_002072.3	ENST00000286548	NM_002072.3	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	G-ALPHA-q, GAQ
GNAS	2778	ENST00000371085	NM_000516.4	ENST00000371085	NM_000516.4	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	GNAS1, GNASXL, GPSA, NESP, NESP55, SCG6, SgVI
HNF1A	6927	ENST00000257555	NM_000545.5	ENST00000257555	NM_000545.5	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	HNF1, LFB1, MODY3, TCF1
HRAS	3265	ENST00000451590	NM_005343.2	ENST00000451590	NM_005343.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	HRAS1
IDH1	3417	ENST00000345146	NM_005896.2	ENST00000345146	NM_005896.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
IDH2	3418	ENST00000330062	NM_002168.2	ENST00000330062	NM_002168.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
JAK1	3716	ENST00000342505	NM_002227.2	ENST00000342505	NM_002227.2	ONCOGENE_AND_TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	JAK1A, JAK1B, JTK3
JAK2	3717	ENST00000381652	NM_004972.3	ENST00000381652	NM_004972.3	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	JTK10
JAK3	3718	ENST00000458235	NM_000215.3	ENST00000458235	NM_000215.3	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	JAK-3, JAK3_HUMAN, JAKL, L-JAK, LJAK
KDM5C	8242	ENST00000375401	NM_004187.3	ENST00000375401	NM_004187.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	DXS1272E, JARID1C, MRX13, SMCX, XE169
KDM6A	7403	ENST00000377967	NM_021140.2	ENST00000377967	NM_021140.2	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	UTX
KIT	3815	ENST00000288135	NM_000222.2	ENST00000288135	NM_000222.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	C-Kit, CD117, PBT, SCFR
KMT2D	8085	ENST00000301067	NM_003482.3	ENST00000301067	NM_003482.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ALR, CAGL114, MLL2, TNRC21
KRAS	3845	ENST00000311936	NM_004985.3	ENST00000311936	NM_004985.3	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	K-Ras4B, KRAS1, KRAS2
MAP2K1	5604	ENST00000307102	NM_002755.3	ENST00000307102	NM_002755.3	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	MAPKK1, MEK1, PRKMK1
MAP3K1	4214	ENST00000399503	NM_005921.1	ENST00000399503	NM_005921.1	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	MAPKKK1, MEKK, MEKK1
MED12	9968	ENST00000374080	NM_005120.2	ENST00000374080	NM_005120.2	ONCOGENE_AND_TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ARC240, CAGH45, FGS1, HOPA, KIAA0192, Kto, OKS, TNRC11, TRAP230
MEN1	4221	ENST00000312049	NM_130799.2	ENST00000312049	NM_130799.2	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MET	4233	ENST00000397752	NM_000245.2	ENST00000397752	NM_000245.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	DFNB97, HGFR, RCCP2
MLH1	4292	ENST00000231790	NM_000249.3	ENST00000231790	NM_000249.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	COCA2, FCC2, HNPCC, HNPCC2
MPL	4352	ENST00000372470	NM_005373.2	ENST00000372470	NM_005373.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CD110, THPOR, TPOR
MSH2	4436	ENST00000233146	NM_000251.2	ENST00000233146	NM_000251.2	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	COCA1, HNPCC1
MSH6	2956	ENST00000234420	NM_000179.2	ENST00000234420	NM_000179.2	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	GTBP
MYD88	4615	ENST00000396334	NM_002468.4	ENST00000650905		ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NF1	4763	ENST00000356175	NM_000267.3	ENST00000356175	NM_000267.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NF2	4771	ENST00000338641	NM_000268.3	ENST00000338641	NM_000268.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ACN, BANF, SCH, merlin, merlin-1
NFE2L2	4780	ENST00000397062	NM_006164.4	ENST00000397062	NM_006164.4	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NOTCH1	4851	ENST00000277541	NM_017617.3	ENST00000651671	NM_017617.5	ONCOGENE_AND_TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	TAN1
NOTCH2	4853	ENST00000256646	NM_024408.3	ENST00000256646	NM_024408.3	ONCOGENE_AND_TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NPM1	4869	ENST00000296930	NM_002520.6	ENST00000296930	NM_002520.6	ONCOGENE_AND_TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	B23, NPM
NRAS	4893	ENST00000369535	NM_002524.4	ENST00000369535	NM_002524.4	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	N-ras
PAX5	5079	ENST00000358127	NM_016734.2	ENST00000358127	NM_016734.2	ONCOGENE_AND_TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BSAP
PBRM1	55193	ENST00000394830	NM_018313.4	ENST00000394830	NM_018313.4	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BAF180, PB1
PDGFRA	5156	ENST00000257290	NM_006206.4	ENST00000257290	NM_006206.4	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CD140a, GAS9, PDGFR2
PIK3CA	5290	ENST00000263967	NM_006218.2	ENST00000263967	NM_006218.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	PI3K
PIK3R1	5295	ENST00000274335	NM_181523.2	ENST00000521381	NM_181523.2	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	GRB1, p85-ALPHA
PPP2R1A	5518	ENST00000322088	NM_014225.5	ENST00000322088	NM_014225.5	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	PP2A-Aalpha, PP2AA, PR65A
PRDM1	639	ENST00000369096	NM_001198.3	ENST00000369096	NM_001198.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BLIMP1, PRDI-BF1
PTCH1	5727	ENST00000331920	NM_000264.3	ENST00000331920	NM_000264.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BCNS, NBCCS, PTCH
PTEN	5728	ENST00000371953	NM_000314.4	ENST00000371953	NM_000314.4	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BZS, MHAM, MMAC1, PTEN1
PTPN11	5781	ENST00000351677	NM_002834.3	ENST00000351677	NM_002834.3	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BPTP3, NS1, PTP2C, SH-PTP2, SHP-2, SHP2
RB1	5925	ENST00000267163	NM_000321.2	ENST00000267163	NM_000321.2	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	OSRC, PPP1R130, RB
RET	5979	ENST00000355710	NM_020975.4	ENST00000355710	NM_020975.4	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CDHF12, CDHR16, HSCR1, MEN2A, MEN2B, MTC1, RET51
RNF43	54894	ENST00000407977	NM_017763.4	ENST00000407977	NM_017763.4	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	DKFZp781H0392, FLJ20315, URCC
SETD2	29072	ENST00000409792	NM_014159.6	ENST00000409792	NM_014159.6	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FLJ23184, HIF-1, HYPB, KIAA1732, KMT3A
SF3B1	23451	ENST00000335508	NM_012433.2	ENST00000335508	NM_012433.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Hsh155, PRPF10, Prp10, SAP155, SF3b155
SMAD2	4087	ENST00000262160	NM_001003652.3	ENST00000262160	NM_001003652.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	JV18-1, MADH2, MADR2
SMAD4	4089	ENST00000342988	NM_005359.5	ENST00000342988	NM_005359.5	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	DPC4, MADH4
SMARCA4	6597	ENST00000358026	NM_001128849.1	ENST00000646693	NM_001128849.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BRG1, FLJ39786, SNF2-BETA, SNF2L4, hSNF2b
SMARCB1	6598	ENST00000263121	NM_003073.3	ENST00000618915	NM_003073.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BAF47, Ini1, PPP1R144, RDT, SNF5, SNF5L1, Sfh1p, Snr1, hSNFS
SMO	6608	ENST00000249373	NM_005631.4	ENST00000249373	NM_005631.4	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FZD11, SMOH
SOCS1	8651	ENST00000332029	NM_003745.1	ENST00000332029	NM_003745.1	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Cish1, JAB, SOCS-1, SSI-1, TIP3
SPOP	8405	ENST00000347630	NM_001007228.1	ENST00000347630	NM_001007228.1	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BTBD32, TEF2
STAG2	10735	ENST00000218089	NM_001042749.1	ENST00000218089	NM_001042749.1	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	SA-2, SA2, SCC3B
STK11	6794	ENST00000326873	NM_000455.4	ENST00000326873	NM_000455.4	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	LKB1, PJS
TET2	54790	ENST00000380013	NM_001127208.2	ENST00000380013	NM_001127208.2	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FLJ20032, KIAA1546
TNFAIP3	7128	ENST00000237289	NM_006290.3	ENST00000237289	NM_006290.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	A20, OTUD7C
TP53	7157	ENST00000269305	NM_000546.5	ENST00000269305	NM_000546.5	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	LFS1, p53
TSC1	7248	ENST00000298552	NM_000368.4	ENST00000298552	NM_000368.4	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KIAA0243, TSC, hamartin
U2AF1	7307	ENST00000291552	NM_006758.2	ENST00000291552	NM_006758.2	ONCOGENE	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	RNU2AF1, U2AF35, U2AFBP
VHL	7428	ENST00000256474	NM_000551.3	ENST00000256474	NM_000551.3	TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	VHL1
WT1	7490	ENST00000332351	NM_024426.4	ENST00000452863	NM_024426.4	ONCOGENE_AND_TSG	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	AWT1, GUD, NPHS4, WAGR, WIT-2
AKT2	208	ENST00000392038	NM_001626.4	ENST00000392038	NM_001626.4	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	PKBβ
ARID2	196528	ENST00000334344	NM_152641.2	ENST00000334344	NM_152641.2	TSG	6	Yes	Yes	Yes	No	Yes	Yes	Yes	BAF200, DKFZp686G052, FLJ30619, KIAA1557
ATR	545	ENST00000350721	NM_001184.3	ENST00000350721	NM_001184.3	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	FRP1, MEC1, SCKL, SCKL1
B2M	567	ENST00000558401	NM_004048.2	ENST00000559916	NM_004048.2	TSG	6	Yes	Yes	Yes	No	Yes	Yes	Yes	
BARD1	580	ENST00000260947	NM_000465.2	ENST00000260947	NM_000465.2	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	
BCL6	604	ENST00000232014	NM_001706.4	ENST00000232014	NM_001706.4	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	BCL5, BCL6A, LAZ3, ZBTB27, ZNF51
BRD4	23476	ENST00000263377	NM_058243.2	ENST00000263377	NM_058243.2	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	HUNK1, HUNKI, MCAP
BRIP1	83990	ENST00000259008	NM_032043.2	ENST00000259008	NM_032043.2	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	FANCJ
BTK	695	ENST00000308731	NM_000061.2	ENST00000308731	NM_000061.2	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	AGMX1, ATK, IMD1, PSCTK1, XLA
CALR	811	ENST00000316448	NM_004343.3	ENST00000316448	NM_004343.3	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	CRT, FLJ26680, RO, SSA, cC1qR
CASP8	841	ENST00000358485	NM_001080125.1	ENST00000358485	NM_001080125.1	TSG	6	Yes	Yes	Yes	Yes	No	Yes	Yes	Casp-8, FLICE, MACH, MCH5
CBFB	865	ENST00000412916	NM_022845.2	ENST00000412916	NM_022845.2	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	PEBP2B
CCND1	595	ENST00000227507	NM_053056.2	ENST00000227507	NM_053056.2	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	BCL1, D11S287E, PRAD1, U21B31
CCND2	894	ENST00000261254	NM_001759.3	ENST00000261254	NM_001759.3	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	
CCND3	896	ENST00000372991	NM_001760.3	ENST00000372991	NM_001760.3	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	
CCNE1	898	ENST00000262643	NM_001238.2	ENST00000262643	NM_001238.2	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	CCNE
CD274	29126	ENST00000381577	NM_014143.3	ENST00000381577	NM_014143.3	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	B7-H, B7-H1, B7H1, PD-L1, PDCD1LG1, PDL1
CD79A	973	ENST00000221972	NM_001783.3	ENST00000221972	NM_001783.3	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	IGA, MB-1
CD79B	974	ENST00000392795	NM_001039933.1	ENST00000392795	NM_001039933.1	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	B29, IGB
CDK12	51755	ENST00000447079	NM_016507.2	ENST00000447079	NM_016507.2	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	CRK7, CRKR, CRKRS, KIAA0904
CDK4	1019	ENST00000257904	NM_000075.3	ENST00000257904	NM_000075.3	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	PSK-J3
CDK6	1021	ENST00000265734	NM_001145306.1	ENST00000265734	NM_001145306.1	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	PLSTIRE
CDKN1B	1027	ENST00000228872	NM_004064.3	ENST00000228872	NM_004064.3	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	KIP1, P27KIP1
CDKN2C	1031	ENST00000262662	NM_078626.2	ENST00000262662	NM_078626.2	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	INK4C
CHEK2	11200	ENST00000328354	NM_007194.3	ENST00000404276	NM_007194.3	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	CHK2, HuCds1, PP1425, RAD53, bA444G7
CRLF2	64109	ENST00000400841		ENST00000400841		ONCOGENE	6	Yes	Yes	Yes	No	Yes	Yes	Yes	CRL2, TSLPR
CSF1R	1436	ENST00000286301	NM_005211.3	ENST00000286301	NM_005211.3	INSUFFICIENT_EVIDENCE	6	Yes	Yes	Yes	Yes	Yes	Yes	No	C-FMS, CD115, CSFR, FMS
CSF3R	1441	ENST00000373106		ENST00000373106		ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	CD114, GCSFR
CTCF	10664	ENST00000264010	NM_006565.3	ENST00000264010	NM_006565.3	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	CFAP108, FAP108
CXCR4	7852	ENST00000241393	NM_003467.2	ENST00000241393	NM_003467.2	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	CD184, D2S201E, HM89, HSY3RR, LESTR, NPY3R, NPYY3R, fusin
DDR2	4921	ENST00000367921	NM_006182.2	ENST00000367921	NM_006182.2	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	NTRKR3, TYRO10
ERBB3	2065	ENST00000267101	NM_001982.3	ENST00000267101	NM_001982.3	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	HER3, LCCS2
ERBB4	2066	ENST00000342788	NM_005235.2	ENST00000342788	NM_005235.2	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	ALS19, HER4
ERG	2078	ENST00000288319	NM_182918.3	ENST00000288319	NM_182918.3	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	erg-3
ESR1	2099	ENST00000206249	NM_001122740.1	ENST00000206249	NM_001122740.1	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	ER-alpha, ESR, Era, NR3A1
ETV6	2120	ENST00000396373	NM_001987.4	ENST00000396373	NM_001987.4	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	TEL
FANCA	2175	ENST00000389301	NM_000135.2	ENST00000389301	NM_000135.2	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	FA-H, FAA, FACA, FANCH
FANCC	2176	ENST00000289081	NM_000136.2	ENST00000289081	NM_000136.2	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	FA3, FAC, FACC
FGFR1	2260	ENST00000425967	NM_001174067.1	ENST00000425967	NM_001174067.1	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	BFGFR, CD331, CEK, FLT2, H5, KAL2, N-SAM
FGFR4	2264	ENST00000292408	NM_213647.1	ENST00000292408	NM_213647.1	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	CD334, JTK2
FLCN	201163	ENST00000285071	NM_144997.5	ENST00000285071	NM_144997.5	TSG	6	Yes	Yes	Yes	Yes	Yes	No	Yes	BHD, DENND8B, MGC17998, MGC23445
FUBP1	8880	ENST00000370768	NM_003902.3	ENST00000370768	NM_003902.3	TSG	6	Yes	Yes	Yes	Yes	No	Yes	Yes	FUBP
GATA1	2623	ENST00000376670	NM_002049.3	ENST00000376670	NM_002049.3	INSUFFICIENT_EVIDENCE	6	Yes	Yes	Yes	No	Yes	Yes	Yes	ERYF1, GATA-1, GF1, NF-E1, NFE1
GATA2	2624	ENST00000341105	NM_032638.4	ENST00000341105	NM_032638.4	ONCOGENE_AND_TSG	6	Yes	Yes	Yes	No	Yes	Yes	Yes	NFE1B
H3-3A	3020	ENST00000366813	NM_002107.4	ENST00000366815	NM_002107.4	ONCOGENE	6	Yes	Yes	Yes	Yes	No	Yes	Yes	H3.3A, H3F3, H3F3A
H3C2	8358	ENST00000244661	NM_003537.3	ENST00000621411	NM_003537.3	ONCOGENE	6	Yes	Yes	Yes	No	Yes	Yes	Yes	H3/l, H3FL, HIST1H3B
HGF	3082	ENST00000222390	NM_000601.4	ENST00000222390	NM_000601.4	ONCOGENE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	DFNB39, F-TCF, HGFB, HPTA
IKZF1	10320	ENST00000331340	NM_006060.4	ENST00000331340	NM_006060.6	INSUFFICIENT_EVIDENCE	6	Yes	Yes	Yes	Yes	Yes	No	Yes	Hs.54452, IKAROS, LyF-1, PPP1R92, ZNFN1A1, hIk-1
